House	O	FAC	O	O
treating	O	O	O	O
them	O	PER	O	O
including	O	O	O	O
a	O	PER	O	O
man	O	PER	O	O
who	O	PER	O	O
is	O	PER	O	O
almost	O	PER	O	O
dead	O	PER	O	O
with	O	PER	O	O
a	O	PER	O	O
gunshot	Attack	PER	O	O
wound	Injure	PER	O	O
to	O	PER	O	O
the	O	PER	O	O
chest	O	PER	O	O
.	O	O	O	O

We	O	PER	O	O
sent	Transport	O	O	O
in	O	O	O	O
one	O	PER	O	O
of	O	PER	O	O
our	O	PER	O	O
companies	O	PER	O	O
of	O	PER	O	O
about	O	PER	O	O
100	O	PER	O	O
men	O	PER	O	O
in	O	O	O	O
here	O	GPE	O	O
this	O	TIM	O	O
morning	O	TIM	O	O
and	O	O	O	O
we	O	PER	O	O
took	O	O	O	O
about	O	PER	O	O
12	O	PER	O	O
or	O	PER	O	O
13	O	PER	O	O
prisoners	O	PER	O	O
,	O	O	O	O
three	O	PER	Victim	O
or	O	PER	Victim	O
four	O	PER	Victim	O
enemy	O	PER	Victim	O
were	O	O	O	O
injured	Injure	O	O	E
and	O	O	O	O
they	O	PER	O	O
've	O	O	O	O
now	O	TIM	O	O
been	O	O	O	O
flown	Transport	O	O	O
out	Transport	O	O	O
and	O	O	O	O
we	O	PER	O	O
're	O	O	O	O
treating	O	O	O	O
them	O	PER	O	O
including	O	O	O	O
a	O	PER	O	O
man	O	PER	O	O
who	O	PER	O	O
is	O	PER	O	O
almost	O	PER	O	O
dead	O	PER	O	O
with	O	PER	O	O
a	O	PER	O	O
gunshot	Attack	PER	O	O
wound	Injure	PER	O	O
to	O	PER	O	O
the	O	PER	O	O
chest	O	PER	O	O
.	O	O	O	O

We	O	PER	O	O
sent	Transport	O	O	O
in	O	O	O	O
one	O	PER	O	O
of	O	PER	O	O
our	O	PER	O	O
companies	O	PER	O	O
of	O	PER	O	O
about	O	PER	O	O
100	O	PER	O	O
men	O	PER	O	O
in	O	O	O	O
here	O	GPE	Origin	O
this	O	TIM	O	O
morning	O	TIM	O	O
and	O	O	O	O
we	O	PER	O	O
took	O	O	O	O
about	O	PER	O	O
12	O	PER	O	O
or	O	PER	O	O
13	O	PER	O	O
prisoners	O	PER	O	O
,	O	O	O	O
three	O	PER	O	O
or	O	PER	O	O
four	O	PER	O	O
enemy	O	PER	O	O
were	O	O	O	O
injured	Injure	O	O	O
and	O	O	O	O
they	O	PER	Artifact	O
've	O	O	O	O
now	O	TIM	Time	O
been	O	O	O	O
flown	Transport	O	O	E
out	Transport	O	O	O
and	O	O	O	O
we	O	PER	O	O
're	O	O	O	O
treating	O	O	O	O
them	O	PER	O	O
including	O	O	O	O
a	O	PER	O	O
man	O	PER	O	O
who	O	PER	O	O
is	O	PER	O	O
almost	O	PER	O	O
dead	O	PER	O	O
with	O	PER	O	O
a	O	PER	O	O
gunshot	Attack	PER	O	O
wound	Injure	PER	O	O
to	O	PER	O	O
the	O	PER	O	O
chest	O	PER	O	O
.	O	O	O	O

We	O	PER	O	O
sent	Transport	O	O	O
in	O	O	O	O
one	O	PER	Attacker	O
of	O	PER	Attacker	O
our	O	PER	Attacker	O
companies	O	PER	Attacker	O
of	O	PER	Attacker	O
about	O	PER	Attacker	O
100	O	PER	Attacker	O
men	O	PER	Attacker	O
in	O	O	O	O
here	O	GPE	O	O
this	O	TIM	O	O
morning	O	TIM	O	O
and	O	O	O	O
we	O	PER	O	O
took	O	O	O	O
about	O	PER	O	O
12	O	PER	O	O
or	O	PER	O	O
13	O	PER	O	O
prisoners	O	PER	O	O
,	O	O	O	O
three	O	PER	O	O
or	O	PER	O	O
four	O	PER	O	O
enemy	O	PER	O	O
were	O	O	O	O
injured	Injure	O	O	O
and	O	O	O	O
they	O	PER	O	O
've	O	O	O	O
now	O	TIM	O	O
been	O	O	O	O
flown	Transport	O	O	O
out	Transport	O	O	O
and	O	O	O	O
we	O	PER	O	O
're	O	O	O	O
treating	O	O	O	O
them	O	PER	O	O
including	O	O	O	O
a	O	PER	Target	O
man	O	PER	Target	O
who	O	PER	Target	O
is	O	PER	Target	O
almost	O	PER	Target	O
dead	O	PER	Target	O
with	O	PER	Target	O
a	O	PER	Target	O
gunshot	Attack	PER	Target	O
wound	Injure	PER	Target	O
to	O	PER	Target	O
the	O	PER	Target	O
chest	O	PER	Target	O
.	O	O	O	O

We	O	PER	O	O
sent	Transport	O	O	O
in	O	O	O	O
one	O	PER	O	O
of	O	PER	O	O
our	O	PER	O	O
companies	O	PER	O	O
of	O	PER	O	O
about	O	PER	O	O
100	O	PER	O	O
men	O	PER	O	O
in	O	O	O	O
here	O	GPE	Place	O
this	O	TIM	O	O
morning	O	TIM	O	O
and	O	O	O	O
we	O	PER	O	O
took	O	O	O	O
about	O	PER	O	O
12	O	PER	O	O
or	O	PER	O	O
13	O	PER	O	O
prisoners	O	PER	O	O
,	O	O	O	O
three	O	PER	O	O
or	O	PER	O	O
four	O	PER	O	O
enemy	O	PER	O	O
were	O	O	O	O
injured	Injure	O	O	O
and	O	O	O	O
they	O	PER	O	O
've	O	O	O	O
now	O	TIM	O	O
been	O	O	O	O
flown	Transport	O	O	O
out	Transport	O	O	O
and	O	O	O	O
we	O	PER	O	O
're	O	O	O	O
treating	O	O	O	O
them	O	PER	O	O
including	O	O	O	O
a	O	PER	Victim	O
man	O	PER	Victim	O
who	O	PER	Victim	O
is	O	PER	Victim	O
almost	O	PER	Victim	O
dead	O	PER	Victim	O
with	O	PER	Victim	O
a	O	PER	Victim	O
gunshot	Attack	PER	Victim	O
wound	Injure	PER	Victim	O
to	O	PER	Victim	O
the	O	PER	Victim	O
chest	O	PER	Victim	O
.	O	O	O	O

