Where	O	LOC	Destination	O
for	O	O	O	O
a	O	O	O	O
while	O	O	O	O
.	O	O	O	O

Well	O	O	O	O
my	O	PER	Victim	O
mom	O	PER	Victim	O
and	O	PER	Victim	O
dad	O	PER	Victim	O
are	O	O	O	O
dead	Die	O	O	E
.	O	O	O	O

I	O	PER	O	O
'm	O	O	O	O
fifty-one	O	O	O	O
,	O	O	O	O
and	O	O	O	O
both	O	PER	Victim	O
of	O	PER	Victim	O
my	O	PER	Victim	O
parents	O	PER	Victim	O
have	O	O	O	O
been	O	O	O	O
dead	Die	O	O	E
a	O	O	O	O
while	O	O	O	O
.	O	O	O	O

going	Transport	O	O	E
to	O	O	O	O
Tennessee	O	GPE	Destination	O
,	O	O	O	O
and	O	O	O	O
the	O	O	O	O
regular	O	O	O	O
tradition	O	O	O	O
is	O	O	O	O
going	O	O	O	O
to	O	O	O	O
my	O	PER	O	O
mother	O	PER	O	O
-	O	PER	O	O
in-law	O	PER	O	O
's	O	O	O	O
.	O	O	O	O

Uh	O	O	O	O
,	O	O	O	O
we	O	PER	O	O
have	O	O	O	O
,	O	O	O	O
uh	O	O	O	O
,	O	O	O	O
one	O	PER	Person	O
of	O	PER	Person	O
our	O	PER	Person	O
married	Marry	PER	Person	O
children	O	PER	Person	O
in	O	O	O	O
the	O	GPE	O	O
same	O	GPE	O	O
town	O	GPE	O	O
up	O	O	O	O
here	O	GPE	O	O
,	O	O	O	O
and	O	O	O	O
one	O	PER	O	O
of	O	PER	O	O
them	O	PER	O	O
down	O	O	O	O
in	O	O	O	O
South	O	GPE	O	O
Carolina	O	GPE	O	O
.	O	O	O	O

Well	O	O	O	O
,	O	O	O	O
my	O	PER	O	O
daughter	O	PER	O	O
is	O	O	O	O
in	O	O	O	O
Louisville	O	GPE	Origin	O
,	O	O	O	O
clear	O	O	O	O
across	O	O	O	O
the	O	GPE	O	O
state	O	GPE	O	O
,	O	O	O	O
and	O	O	O	O
she	O	PER	Artifact	O
's	O	O	O	O
not	O	O	O	O
coming	Transport	O	O	E
home	O	FAC	Destination	O
.	O	O	O	O

My	O	PER	Artifact	O
son	O	PER	Artifact	O
's	O	O	O	O
going	O	O	O	O
to	O	O	O	O
be	O	O	O	O
moving	Transport	O	O	E
back	O	O	O	O
home	O	FAC	Destination	O
next	O	TIM	Time	O
year	O	TIM	Time	O
,	O	O	O	O
and	O	O	O	O
he	O	PER	O	O
's	O	O	O	O
a	O	O	O	O
joy	O	O	O	O
.	O	O	O	O

He	O	PER	O	O
's	O	O	O	O
going	O	O	O	O
to	O	O	O	O
go	O	O	O	O
into	O	O	O	O
the	O	O	O	O
,	O	O	O	O
uh	O	O	O	O
-	O	O	O	O
He	O	PER	Person	O
's	O	O	O	O
going	O	O	O	O
to	O	O	O	O
be	Start-Position	O	O	E
a	O	JOB	Position	O
pastor	O	JOB	Position	O
and	O	O	O	O
a	O	JOB	Position	O
counselor	O	JOB	Position	O
.	O	O	O	O

When	O	O	O	O
you	O	PER	O	O
get	O	O	O	O
in	O	O	O	O
the	O	O	O	O
severe	O	O	O	O
stage	O	O	O	O
,	O	O	O	O
you	O	PER	O	O
know	O	O	O	O
,	O	O	O	O
you	O	PER	O	O
get	O	O	O	O
out	O	O	O	O
once	O	TIM	O	O
a	O	TIM	O	O
week	O	TIM	O	O
and	O	O	O	O
do	O	O	O	O
what	O	O	O	O
you	O	PER	O	O
have	O	O	O	O
to	O	O	O	O
do	O	O	O	O
-	O	O	O	O
because	O	O	O	O
my	O	PER	Victim	O
husband	O	PER	Victim	O
does	O	O	O	O
n't	O	O	O	O
drive	O	O	O	O
,	O	O	O	O
because	O	O	O	O
of	O	O	O	O
coordination	O	O	O	O
problems	O	O	O	O
from	O	O	O	O
a	O	O	O	O
head	O	O	O	O
injury	Injure	O	O	E
-	O	O	O	O
--	O	O	O	O
and	O	O	O	O
that	O	O	O	O
puts	O	O	O	O
you	O	PER	O	O
out	O	O	O	O
for	O	O	O	O
the	O	TIM	O	O
rest	O	TIM	O	O
of	O	TIM	O	O
the	O	TIM	O	O
week	O	TIM	O	O
.	O	O	O	O

