Sent#	Word	Entity	Tag
8	các	O	O
8	bạn	O	O
8	trẻ	O	O
8	có_mặt	O	O
8	tại	O	O
8	hiện_trường	O	O
8	.	O	O
9	Thi_thoảng	O	O
9	những	O	O
9	màn	O	O
9	cười	O	O
9	đùa	O	O
9	hò_reo	O	O
9	kèm	O	O
9	theo	O	O
9	tiếng	O	O
9	chửi	O	O
9	thề	O	O
9	trước	O	O
9	trận	O	O
9	ẩu_đả	O	O
9	của	O	O
9	hai	O	O
9	cô_gái	O	O
9	trẻ	O	O
9	này	O	O
9	.	O	O
10	Sau	O	O
10	một	O	O
10	hồi	O	O
10	đấm_đá	O	O
10	quyết_liệt	O	O
10	cả	O	O
10	hai	O	O
10	được	O	O
10	một	O	O
10	thanh_niên	O	O
10	lại	O	O
10	gần	O	O
10	can_ngăn	O	O
10	nhằm	O	O
10	tránh	O	O
10	xảy	O	O
10	ra	O	O
10	những	O	O
10	trường_hợp	O	O
10	đáng	O	O
10	tiếc	O	O
10	.	O	O
11	Clip	O	O
11	nhận	O	O
11	được	O	O
11	rất	O	O
11	nhiều	O	O
11	ý_kiến	O	O
11	phản_hồi	O	O
11	.	O	O
12	Nhiều	O	O
12	người	O	O
12	cho_rằng	O	O
12	việc	O	O
12	đánh	O	Attack
12	nhau	O	Attack
12	giữa	O	O
12	các	PER	O
12	nữ_sinh	PER	O
12	là	O	O
12	điều	O	O
12	quá	O	O
12	bình_thường	O	O
12	.	O	O
12	"	O	O
13	Dạo	O	O
13	gần	O	O
13	đây	O	O
13	mình	O	O
13	toàn	O	O
13	thấy	O	O
13	nữ_sinh	PER	O
13	đánh	O	Attack
13	nhau	O	Attack
13	.	O	O
14	Những	O	O
14	bạn	O	O
14	trẻ	O	O
14	này	O	O
14	nhận_thức	O	O
14	còn	O	O
14	kém	O	O
14	tuổi_trẻ	O	O
14	bồng_bột	O	O
14	.	O	O
15	Thật	O	O
15	buồn	O	O
15	cho	O	O
15	một	O	O
15	thế_hệ	O	O
15	trẻ	O	O
15	bây_giờ	O	O
15	"	O	O
15	nickname	O	O
15	H.T	O	O
15	nhận_xét	O	O
15	.	O	O
16	"	O	O
17	Con_gái	O	O
17	mà	O	O
17	đánh	O	Attack
17	nhau	O	Attack
17	giữa	O	O
17	đường_phố	O	O
17	này	O	O
17	trông	O	O
17	khó_coi	O	O
17	quá	O	O
17	.	O	O
18	Chưa	O	O
18	biết	O	O
18	nguyên_nhân	O	O
18	vụ_việc	O	O
18	nhưng	O	O
18	thế_này	O	O
18	là	O	O
18	không	O	O
18	chấp_nhận	O	O
18	được	O	O
18	"	O	O
18	.	O	O
19	Bên	O	O
19	cạnh	O	O
19	đó	O	O
19	nhiều	O	O
19	ý_kiến	O	O
19	cho_rằng	O	O
19	điều	O	O
19	đáng	O	O
19	chê_trách	O	O
19	là	O	O
19	sự	O	O
19	thờ_ơ	O	O
19	của	O	O
19	đám	O	O
19	đông	O	O
19	các	O	O
19	bạn	O	O
19	trẻ	O	O
19	có_mặt	O	O
19	trong	O	O
19	clip	O	O
19	.	O	O
19	"	O	O
20	Thấy	O	O
20	người	O	O
20	khác	O	O
20	đánh	O	O
20	nhau	O	O
20	mà	O	O
20	đứng	O	O
20	xem	O	O
20	trong	O	O
20	vô_thức	O	O
20	.	O	O
21	Các	O	O
21	bạn	O	O
21	trẻ	O	O
21	này	O	O
21	đáng	O	O
21	lên_án	O	O
21	bởi	O	O
21	sự	O	O
21	thờ_ơ	O	O
21	của	O	O
21	bản_thân	O	O
21	.	O	O
22	Thấy	O	O
22	người	O	O
22	gặp	O	O
22	nạn	O	O
22	phải	O	O
22	giúp_đỡ	O	O
22	người_ta	O	O
22	chứ	O	O
22	.	O	O
23	Nếu	O	O
23	sợ	O	O
23	liên_luỵ	O	O
23	thì	O	O
23	còn	O	O
23	nhiều	O	O
23	cách	O	O
23	giúp	O	O
23	khác	O	O
23	mà	O	O
23	"	O	O
23	nickname	O	O
23	Khánh	O	O
23	.	O	O
24	H	O	O
24	bức_xúc	O	O
24	.	O	O
25	Gửi	O	O
25	câu_hỏi	O	O
26	Trung_Thành	O	O
26	Báo	O	O
26	Đất_Việt	O	O
27	Thủ_môn	PER	O
27	tử_nạn	O	Die
27	vụ	O	O
27	máy_bay	O	O
27	rơi	O	O
27	được	O	Elect
27	bầu	O	Elect
27	là	O	O
27	Cầu_thủ	O	O
27	hay	O	O
27	nhất	O	O
27	năm	O	O
27	.	O	O
28	Thủ_môn	PER	O
28	của	PER	O
28	CLB	PER	O
28	Chapecoense	PER	O
28	tử_nạn	O	Die
28	cùng	O	O
28	các	PER	O
28	đồng_đội	PER	O
28	khi	O	O
28	bay	O	Transport
28	đến	O	O
28	Medellin	GPE	O
28	để	O	O
28	đá	O	O
28	trận	O	O
28	chung	O	O
28	kết	O	O
28	Copa	O	O
28	Sudamericana	O	O
28	.	O	O
29	Anh	PER	O
29	được	O	Elect
29	bầu	O	Elect
29	là	O	O
29	cầu_thủ	O	O
29	hay	O	O
29	nhất	O	O
29	giải	O	O
29	vô_địch	O	O
29	Brazil	O	O
29	mùa_giải	O	O
29	2016	O	O
29	ở	O	O
29	hạng_mục	O	O
29	do	O	O
29	các	O	O
29	CĐV	PER	O
29	bình_chọn	O	O
29	.	O	O
30	Trước	O	O
30	đó	O	O
30	Chapecoense	O	O
30	đã	O	O
30	được	O	O
30	trao	O	O
30	Cup	O	O
30	vô	O	O
30	địch	O	O
30	Copa	O	O
30	Sudamericana	O	O
30	2016	O	O
30	.	O	O
31	Danilo	O	O
31	sống_sót	O	O
31	sau	O	O
31	vụ	O	O
31	tai_nạn	O	O
31	và	O	O
31	được	O	O
31	đưa	O	O
31	tới	O	O
31	bệnh_viện	O	O
31	.	O	O
32	Tuy_nhiên	O	O
32	thủ_môn	O	O
32	này	O	O
32	không_thể	O	O
32	qua	O	O
32	khỏi	O	O
32	vì	O	O
32	chấn_thương	O	O
32	quá	O	O
32	nặng	O	O
32	.	O	O
33	Bà	O	O
33	Illaides	O	O
33	thay_mặt	O	O
33	con_trai	O	O
33	nhận	O	O
33	giải_thưởng	O	O
33	sau	O	O
33	lưng	O	O
33	bà	O	O
33	là	O	O
33	hình_ảnh	O	O
33	của	O	O
33	thủ	O	O
33	môn	O	O
33	Danilo	O	O
33	.	O	O
34	Ảnh	O	O
34	Twitter	O	O
34	/	O	O
34	CBF	O	O
34	Futebol	O	O
34	.	O	O
35	Giải_thưởng	O	O
35	mà	O	O
35	Danilo	O	O
35	nhận	O	O
35	được	O	O
35	có	O	O
35	tên	O	O
35	là	O	O
35	"	O	O
35	Craque	O	O
35	da	O	O
35	Galera	O	O
35	"	O	O
35	.	O	O
36	Anh	O	O
36	nhận	O	O
36	được	O	O
36	48	O	O
36	số	O	O
36	phiếu	O	O
36	bầu_chọn	O	O
36	.	O	O
37	Mẹ	O	O
37	của	O	O
37	thủ_môn	PER	O
37	qua_đời	O	Die
37	ở	O	O
37	tuổi	O	O
37	31	O	O
37	này	O	O
37	bà	O	O
37	Dona_Illaides	O	O
37	thay	O	O
37	mặt	O	O
37	con_trai	O	O
37	nhận	O	O
37	giải	O	O
37	.	O	O
38	"	O	O
38	Chapeco	O	O
38	đang	O	O
38	sống	O	O
38	trong	O	O
38	những	O	O
38	ngày_tháng	O	O
38	khó_khăn	O	O
38	.	O	O
39	Ngay	O	O
39	bây_giờ	O	O
39	đây	O	O
39	là	O	O
39	những	O	O
39	người	O	O
39	muốn	O	O
39	ôm	O	O
39	lấy	O	O
39	tôi	O	O
39	điều	O	O
39	đó	O	O
39	trao	O	O
39	cho	O	O
39	tôi	O	O
39	sức_mạnh	O	O
39	và	O	O
39	giúp	O	O
39	tôi	O	O
39	đứng	O	O
39	vững	O	O
39	.	O	O
40	Đó	O	O
40	là	O	O
40	cách	O	O
40	tôi	O	O
40	đứng	O	O
40	vững	O	O
40	bạn	O	O
40	ôm	O	O
40	tôi	O	O
40	và	O	O
40	tôi	O	O
40	ôm	O	O
40	các	O	O
40	bạn	O	O
40	"	O	O
40	bà	O	O
40	Illaides	O	O
40	nói	O	O
40	.	O	O
41	19	PER	O
41	thành_viên	PER	O
41	của	PER	O
41	Chapecoense	PER	O
41	đã	O	O
41	qua_đời	O	Die
41	trong	O	O
41	vụ	O	O
41	tai_nạn	O	O
41	ở	O	O
41	Colombia	GPE	O
41	.	O	O
42	Chỉ	O	O
42	một_số	O	O
42	ít	O	O
42	cầu_thủ	O	O
42	không	O	O
42	có_mặt	O	O
42	trên	O	O
42	chuyến	O	O
42	bay	O	O
42	này	O	O
42	sống_sót	O	O
42	và	O	O
42	Chapecoense	O	O
42	đối_mặt	O	O
42	với	O	O
42	nguy_cơ	O	O
42	bị	O	O
42	xoá_sổ	O	O
42	vì	O	O
42	mất_mát	O	O
42	này	O	O
42	.	O	O
43	"	O	O
43	Tôi	O	O
43	muốn	O	O
43	gửi	O	O
43	cái	O	O
43	ôm	O	O
43	đến	O	O
43	những	O	O
43	đứa	O	O
43	trẻ	O	O
43	ở	O	O
43	Chapeco	O	O
43	.	O	O
44	Chúng	O	O
44	đã	O	O
44	phải	O	O
44	chịu_đựng	O	O
44	nhiều	O	O
44	.	O	O
45	Danilo	O	O
45	và	O	O
45	những	O	O
45	cầu_thủ	O	O
45	khác	O	O
45	là	O	O
45	thần_tượng	O	O
45	của	O	O
45	chúng	O	O
45	.	O	O
46	Thay_mặt	O	O
46	CLB	O	O
46	Chapecoense	O	O
46	tôi	O	O
46	cảm_ơn	O	O
46	các	O	O
46	bạn	O	O
46	rất	O	O
46	nhiều	O	O
46	.	O	O
47	Tôi	O	O
47	hy_vọng	O	O
47	những	O	O
47	chiến_binh	O	O
47	kế_tiếp	O	O
47	đặt_chân	O	O
47	đến	O	O
47	đây	O	O
47	sẽ	O	O
47	yêu_thương	O	O
47	lũ	O	O
47	trẻ	O	O
47	và	O	O
47	trở_thành	O	O
47	những	O	O
47	người	O	O
47	bảo_vệ	O	O
47	mới	O	O
47	cho	O	O
47	chúng	O	O
47	"	O	O
47	bà	O	O
47	Illaides	O	O
47	nói	O	O
47	tiếp	O	O
47	.	O	O
48	Vĩnh_San	O	O
49	Mới	O	O
49	kết_hôn	O	O
49	tôi	PER	O
49	nên	O	O
49	đưa	O	Transport
49	vợ	PER	O
49	đi	O	O
49	đâu	O	O
49	ở	O	O
49	Đông_Nam_Á	O	O
49	?	O	O
49	.	O	O
50	Tôi	PER	O
50	năm	O	O
50	nay	O	O
50	31	O	O
50	tuổi	O	O
50	vừa	O	O
50	kết_hôn	O	Marry
50	và	O	O
50	sinh_sống	O	O
50	tại	O	O
50	TP	O	O
50	HCM	O	O
50	.	O	O
51	Tháng	O	O
51	trước	O	O
51	chúng_tôi	O	O
51	đã	O	O
51	có	O	O
51	chuyến	O	O
51	du_lịch	O	O
51	ý_nghĩa	O	O
51	tại	O	O
51	thành_phố	O	O
51	biển	O	O
51	Nha_Trang	O	O
51	.	O	O
52	Dù	O	O
52	chưa	O	O
52	đi	O	O
52	nhiều	O	O
52	nơi	O	O
52	tôi	O	O
52	vẫn	O	O
52	cố_gắng	O	O
52	mang	O	O
52	lại	O	O
52	cho	O	O
52	vợ	O	O
52	mới	O	O
52	cưới	O	O
52	những	O	O
52	trải_nghiệm	O	O
52	đáng	O	O
52	nhớ	O	O
52	nhất	O	O
52	.	O	O
53	Sắp	O	O
53	tới	O	O
53	vợ	O	O
53	tôi	O	O
53	muốn	O	O
53	đi	O	O
53	nước_ngoài	O	O
53	.	O	O
54	Tôi	O	O
54	ít	O	O
54	kinh_nghiệm	O	O
54	nên	O	O
54	không	O	O
54	biết	O	O
54	nước	O	O
54	nào	O	O
54	sẽ	O	O
54	thích_hợp	O	O
54	cho	O	O
54	chuyến	O	O
54	xuất_ngoại	O	O
54	đầu_tiên	O	O
54	.	O	O
55	Tôi	O	O
55	nghĩ	O	O
55	mình	O	O
55	có_thể	O	O
55	lo	O	O
55	được	O	O
55	chi_phí	O	O
55	nếu	O	O
55	đi	O	O
55	các	O	O
55	nước	O	O
55	Đông_Nam	O	O
55	Á.	O	O
55	Mong	O	O
55	nhận	O	O
55	được	O	O
55	gợi_ý	O	O
55	từ	O	O
55	các	O	O
55	bạn	O	O
55	.	O	O
56	Xin	O	O
56	cảm_ơn	O	O
56	.	O	O
57	Nguyễn_Hải_Minh	O	O
58	Chia_sẻ	O	O
58	thắc_mắc	O	O
58	của	O	O
58	bạn	O	O
58	tại	O	O
58	đây	O	O
58	.	O	O
59	Putin	PER	O
59	sẽ	O	O
59	ân_xá	O	Pardon
59	cho	O	O
59	người	PER	O
59	từng	PER	O
59	giàu	PER	O
59	nhất	PER	O
59	Nga	PER	O
59	.	O	O
60	Cựu	O	O
60	tài_phiệt	O	O
60	dầu_mỏ	O	O
60	Mikhail_Khodorkovsky	O	O
60	tại	O	O
60	một	O	O
60	phiên_toà	O	O
60	năm	O	O
60	2010	O	O
60	.	O	O
61	Ảnh	O	O
61	AP	O	O
62	Theo	O	O
62	BBC	O	O
62	thông_tin	O	O
62	trên	O	O
62	được	O	O
62	ông	O	O
62	Putin	O	O
62	hé	O	O
62	lộ	O	O
62	hôm_qua	O	O
62	sau	O	O
62	cuộc	O	O
62	họp_báo	O	O
62	trực_tiếp	O	O
62	với	O	O
62	hơn	O	O
62	1.300	O	O
62	phóng_viên	O	O
62	từ	O	O
62	các	O	O
62	hãng	O	O
62	thông_tấn	O	O
62	báo_chí	O	O
62	khắp	O	O
62	thế_giới	O	O
62	ở	O	O
62	Moscow	O	O
62	.	O	O
63	Putin	O	O
63	cho_hay	O	O
63	ông	O	O
63	đã	O	O
63	nhận	O	O
63	được	O	O
63	kiến_nghị	O	O
63	khoan	O	O
63	hồng	O	O
63	trên	O	O
63	cơ_sở	O	O
63	nhân_đạo	O	O
63	từ	O	O
63	Khodorkovsky	O	O
63	do	O	O
63	mẹ	O	O
63	của	O	O
63	cựu	O	O
63	tỷ_phú	O	O
63	đang	O	O
63	bị	O	O
63	bệnh	O	O
63	.	O	O
64	Tổng_thống	O	O
64	chưa	O	O
64	từng	O	O
64	nhận	O	O
64	được	O	O
64	đề_nghị	O	O
64	nào	O	O
64	từ	O	O
64	Khodorkovsky	O	O
64	trước_đây	O	O
64	.	O	O
65	"	O	O
65	Gần	O	O
65	đây	O	O
65	anh	PER	O
65	ta	PER	O
65	có	O	O
65	viết	O	Phone-write
65	một	O	O
65	lá	O	O
65	đơn	O	O
65	như_thế	O	O
65	và	O	O
65	đề_xuất	O	O
65	tôi	PER	O
65	xá	O	Pardon
65	tội	O	Pardon
65	"	O	O
65	ông	O	O
65	nói	O	O
65	.	O	O
66	"	O	O
66	Anh	O	O
66	ta	O	O
66	đã	O	O
66	bị	O	O
66	giam	O	O
66	hơn	O	O
66	10	O	O
66	năm	O	O
66	nay	O	O
66	đó	O	O
66	là	O	O
66	một	O	O
66	hình_phạt	O	O
66	nặng_nề	O	O
66	và	O	O
66	anh	O	O
66	ta	O	O
66	cũng	O	O
66	đề_cập	O	O
66	đến	O	O
66	khía_cạnh	O	O
66	nhân_đạo	O	O
66	về	O	O
66	người	O	O
66	mẹ	O	O
66	đang	O	O
66	ốm_đau	O	O
66	.	O	O
67	Tôi	O	O
67	nghĩ	O	O
67	trong	O	O
67	trường_hợp	O	O
67	này	O	O
67	chúng_ta	O	O
67	có_thể	O	O
67	đưa	O	O
67	ra	O	O
67	quyết_định	O	O
67	và	O	O
67	sớm	O	O
67	ký	O	O
67	sắc_lệnh	O	O
67	ân_xá	O	Pardon
67	cho	O	O
67	anh	PER	O
67	ta	PER	O
67	"	O	O
67	.	O	O
68	Phát_ngôn_viên	O	O
68	điện	O	O
68	Kremlin_Dmitry_Peskov	O	O
68	cho_hay	O	O
68	đơn	O	O
68	kiến_nghị	O	O
68	trên	O	O
68	có	O	O
68	chữ_ký	O	O
68	cá_nhân	O	O
68	của	O	O
68	Khodorkovsky	O	O
68	.	O	O
69	Tuy_nhiên	O	O
69	mẹ	O	O
69	của	O	O
69	ông	O	O
69	này	O	O
69	Marina	O	O
69	nói	O	O
69	rằng	O	O
69	bà	O	O
69	không	O	O
69	biết	O	O
69	gì	O	O
69	về	O	O
69	đơn	O	O
69	xin	O	O
69	được	O	O
69	khoan_hồng	O	O
69	của	O	O
69	con_trai	O	O
69	.	O	O
70	Các	O	O
70	đại_diện	O	O
70	của	O	O
70	cựu	O	O
70	tỷ_phú	O	O
70	dầu_mỏ	O	O
70	cho_biết	O	O
70	họ	O	O
70	cần	O	O
70	gặp	O	O
70	ông	O	O
70	trước	O	O
70	khi	O	O
70	đưa	O	O
70	ra	O	O
70	bình_luận	O	O
70	nhưng	O	O
70	gia_đình	O	O
70	của	O	O
70	Khodorkovsky	O	O
70	sẽ	O	O
70	"	O	O
70	rất	O	O
70	vui_mừng	O	O
70	khi	O	O
70	cuối_cùng	O	O
70	ông	O	O
70	cũng	O	O
70	được	O	O
70	tự_do	O	O
70	"	O	O
70	.	O	O
71	Khodorkovsky	PER	O
71	50	PER	O
71	tuổi	PER	O
71	và	PER	O
71	đồng_phạm	PER	O
71	Platon_Lebedev	PER	O
71	bị	O	Convict
71	buộc_tội	O	Convict
71	lừa_đảo	CRIME	O
71	trốn_thuế	CRIME	O
71	và	CRIME	O
71	rửa	CRIME	O
71	tiền	CRIME	O
71	năm	TIME	O
71	2010	TIME	O
71	.	O	O
72	Là	O	O
72	người	O	O
72	đứng	O	O
72	đầu	O	O
72	của	O	O
72	tập_đoàn	O	O
72	dầu_khí	O	O
72	khổng_lồ	O	O
72	Yukos	O	O
72	hiện	O	O
72	đã	O	O
72	giải_thể	O	O
72	Khodorkovsky	O	O
72	từng	O	O
72	là	O	O
72	người	O	O
72	giàu	O	O
72	nhất	O	O
72	nước	O	O
72	Nga	O	O
72	.	O	O
73	Ông	O	O
73	dự_kiến	O	O
73	mãn	O	O
73	hạn	O	O
73	tù	O	O
73	vào	O	O
73	tháng	O	O
73	8	O	O
73	năm	O	O
73	sau	O	O
73	.	O	O
74	Hạ_viện	ORG	O
74	Nga	ORG	O
74	hôm	TIME	O
74	18/12	TIME	O
74	thông_qua	O	O
74	lệnh	O	O
74	ân_xá	O	Pardon
74	cho	O	O
74	ít_nhất	O	O
74	20.000	PER	O
74	tù_nhân	PER	O
74	bao_gồm	O	O
74	trẻ	O	O
74	vị_thành_niên	O	O
74	người	O	O
74	khuyết_tật	O	O
74	cựu_binh	O	O
74	phụ_nữ	O	O
74	mang_thai	O	O
74	và	O	O
74	đã	O	O
74	làm	O	O
74	mẹ	O	O
74	.	O	O
75	Ông	PER	O
75	Putin	PER	O
75	xác_nhận	O	O
75	hai	PER	O
75	thành_viên	PER	O
75	của	PER	O
75	ban	PER	O
75	nhạc	PER	O
75	phản_đối	PER	O
75	chính_phủ	PER	O
75	Pussy_Riot	PER	O
75	và	PER	O
75	các	PER	O
75	nhà	PER	O
75	hoạt_động	PER	O
75	Greenpeace	PER	O
75	vốn	O	O
75	bị	O	O
75	giam	O	O
75	vì	O	O
75	tổ_chức	O	O
75	biểu_tình	O	O
75	ở	O	O
75	giếng	O	O
75	dầu	O	O
75	của	O	O
75	Nga	O	O
75	tại	O	O
75	Bắc_Cực	O	O
75	cũng	O	O
75	sẽ	O	O
75	được	O	O
75	ân_xá	O	Pardon
75	.	O	O
76	Xem	O	O
76	thêm	O	O
76	Đường	O	O
76	đến	O	O
76	nhà_giam	O	O
76	của	O	O
76	cựu	O	O
76	tỷ_phú	O	O
76	Nga	O	O
77	Anh	O	O
77	Ngọc	O	O
78	Bà	PER	O
78	Lê_Hoàng_Diệp_Thảo	PER	O
78	lại	O	O
78	bị	O	O
78	Trung_Nguyên	O	O
78	bãi_nhiệm	O	End-position
78	.	O	O
79	Sau	O	O
79	khi	O	O
79	bà	O	O
79	Lê_Hoàng_Diệp_Thảo	O	O
79	được	O	O
79	Toà_án	O	O
79	nhân_dân	O	O
79	cấp	O	O
79	cao	O	O
79	TP	O	O
79	HCM	O	O
79	phán_quyết	O	O
79	khôi_phục	O	O
79	chức_danh	O	O
79	tối	TIME	O
79	21/9	TIME	O
79	Tập_đoàn	ORG	O
79	Trung_Nguyên	ORG	O
79	đã	O	O
79	ra	O	O
79	thông_báo	O	O
79	Tổng_giám_đốc	O	O
79	Đặng_Lê_Nguyên_Vũ	O	O
79	ban_hành	O	O
79	quyết_định	O	O
79	bãi_nhiệm	O	End-position
79	chức	O	O
79	phó	JOB	O
79	tổng_giám_đốc	JOB	O
79	của	O	O
79	bà	PER	O
79	Lê_Hoàng_Diệp_Thảo	PER	O
79	.	O	O
80	Theo	O	O
80	đó	O	O
80	ngoài	O	O
80	trình_bày	O	O
80	về	O	O
80	các	O	O
80	triết_lý	O	O
80	của	O	O
80	tập_đoàn	O	O
80	thông_cáo	O	O
80	còn	O	O
80	tố	O	O
80	bà	O	O
80	Thảo	O	O
80	gây_rối	O	O
80	hoạt_động	O	O
80	quản_trị	O	O
80	tại	O	O
80	Trung_Nguyên	O	O
80	nhằm	O	O
80	dồn_ép	O	O
80	ông	O	O
80	Vũ	O	O
80	và	O	O
80	tập_đoàn	O	O
80	vào	O	O
80	bước_đường	O	O
80	cùng	O	O
80	.	O	O
81	Do_đó	O	O
81	công_ty	ORG	O
81	buộc	O	O
81	phải	O	O
81	lên_tiếng	O	O
81	và	O	O
81	bãi_nhiệm	O	End-position
81	bà	PER	O
81	.	O	O
82	Bà	PER	O
82	Lê_Hoàng_Diệp_Thảo	PER	O
82	bị	O	O
82	Trung	ORG	O
82	Nguyên	ORG	O
82	bãi	O	End-position
82	nhiệm	O	End-position
82	sau	O	O
82	một	O	O
82	ngày	O	O
82	được	O	O
82	toà_án	O	O
82	khôi_phục	O	O
82	chức_danh	O	O
82	.	O	O
83	"	O	O
83	Mục_đích	O	O
83	của	O	O
83	bà	O	O
83	Thảo	O	O
83	là	O	O
83	chiếm	O	O
83	trọn	O	O
83	Tập_đoàn	O	O
83	Trung_Nguyên	O	O
83	nên	O	O
83	bà	O	O
83	Thảo	O	O
83	muốn	O	O
83	ông	O	O
83	Đặng_Lê_Nguyên_Vũ	O	O
83	phải	O	O
83	là	O	O
83	người	O	O
83	tâm_thần	O	O
83	mất	O	O
83	năng_lực	O	O
83	hành_vi	O	O
83	dân_sự	O	O
83	.	O	O
84	Luôn	O	O
84	có	O	O
84	một	O	O
84	kế_hoạch	O	O
84	bài_bản	O	O
84	cho	O	O
84	lộ_trình	O	O
84	thực_hiện	O	O
84	dã_tâm	O	O
84	của	O	O
84	bà	O	O
84	Thảo	O	O
84	”	O	O
84	thông_cáo	O	O
84	viết	O	O
84	.	O	O
85	Ngoài_ra	O	O
85	thông_cáo	O	O
85	này	O	O
85	còn	O	O
85	cho_rằng	O	O
85	bà	O	O
85	Thảo	O	O
85	luôn	O	O
85	đe_doạ	O	O
85	cộng_sự	O	O
85	của	O	O
85	ông	O	O
85	Vũ	O	O
85	trong	O	O
85	cuộc	O	O
85	tranh_giành	O	O
85	tài_sản	O	O
85	quản_lý	O	O
85	và	O	O
85	điều_hành	O	O
85	tại	O	O
85	Trung_Nguyên	O	O
85	...	O	O
86	Quyết_định	O	O
86	được	O	O
86	đưa	O	O
86	ra	O	O
86	một	O	O
86	ngày	O	O
86	sau	O	O
86	khi	O	O
86	Toà_án	O	O
86	Nhân_dân	O	O
86	cấp	O	O
86	cao	O	O
86	TP	O	O
86	HCM	O	O
86	phán_quyết	O	O
86	khôi_phục	O	O
86	chức_vụ	O	O
86	của	O	O
86	bà	O	O
86	Lê_Hoàng_Diệp_Thảo	O	O
86	.	O	O
87	Lại	O	O
87	một	O	O
87	lần	O	O
87	nữa	O	O
87	bà	PER	O
87	Thảo	PER	O
87	bị	O	O
87	tước	O	End-position
87	mất	O	End-position
87	vị_trí	O	O
87	lãnh_đạo	JOB	O
87	tập_đoàn	JOB	O
87	.	O	O
88	Phản_hồi	O	O
88	lại	O	O
88	quyết_định	O	O
88	này	O	O
88	bà	O	O
88	Lê_Hoàng_Diệp_Thảo	O	O
88	cho	O	O
88	rằng	O	O
88	Trung_Nguyên	O	O
88	và	O	O
88	ông	O	O
88	Vũ	O	O
88	đang	O	O
88	vi_phạm	O	O
88	pháp_luật	O	O
88	và	O	O
88	không	O	O
88	chấp_hành	O	O
88	quy_định	O	O
88	của	O	O
88	toà_án	O	O
88	.	O	O
89	Theo	O	O
89	bà	O	O
89	Thảo	O	O
89	phía	O	O
89	ông	O	O
89	Vũ	O	O
89	không	O	O
89	được	O	O
89	phép	O	O
89	cản_trở	O	O
89	bà	O	O
89	thực_hiện	O	O
89	chức_năng	O	O
89	và	O	O
89	quyền_hạn	O	O
89	tại	O	O
89	Tập_đoàn	O	O
89	Trung_Nguyên	O	O
89	sau	O	O
89	khi	O	O
89	toà	O	O
89	tuyên_án	O	Sentence
89	.	O	O
90	"	O	O
90	Sau	O	O
90	khi	O	O
90	tôi	O	O
90	được	O	O
90	khôi_phục	O	O
90	chức_vụ	O	O
90	nếu	O	O
90	các	O	O
90	cá_nhân	O	O
90	nhóm	O	O
90	người	O	O
90	nào	O	O
90	cản_trở	O	O
90	quyền	O	O
90	hợp_pháp	O	O
90	tôi	O	O
90	tại	O	O
90	Trung_Nguyên	O	O
90	nghĩa_là	O	O
90	không	O	O
90	chấp_nhận	O	O
90	bản_án	O	O
90	không	O	O
90	chấp_hành	O	O
90	quy_định	O	O
90	của	O	O
90	toà_án	O	O
90	.	O	O
91	Khi	O	O
91	đó	O	O
91	tôi	O	O
91	có	O	O
