Bắt	Arrest-jail	O	T33	Person-Arg:T34 
6	O	PER	T13	N
công_nhân	O	PER	T13	N
quét_dọn	O	O	O	N
đường_phố	O	O	O	N
đã	O	O	O	N
bị_thương	Injure	O	T11	Victim-Arg:T13 Time-Arg:T12 
trong	O	O	O	N
một	O	O	O	N
vụ	O	O	O	N
nổ	O	O	O	N
nhỏ	O	O	O	N
tại	O	O	O	N
khu	O	O	O	N
trại	O	O	O	N
của	O	O	O	N
người	Demonstrate	O	T14	Entity-Arg:T15 Place-Arg:T16 
biểu_tình	Demonstrate	O	T14	Entity-Arg:T15 Place-Arg:T16 
chống	O	O	O	N
chính_phủ	O	ORG	T15	N
ở	O	O	O	N
thủ_đô	O	LOC	T16	N
Bangkok	O	LOC	T16	N
.	O	O	O	N

Vụ_việc	O	O	O	N
được	O	O	O	N
cho	O	O	O	N
là	O	O	O	N
do	O	O	O	N
một	O	O	O	N
quả	O	WEA	T20	N
bom	O	WEA	T20	N
hoặc	O	WEA	T20	N
pháo_hoa	O	WEA	T20	N
khổng_lồ	O	WEA	T20	N
phát_nổ	Attack	O	T19	Instrument-Arg:T20 Time-Arg:T21 
vào	O	O	O	N
trưa	O	TIME	T21	N
nay	O	TIME	T21	N
,	O	O	O	N
khi	O	O	O	N
công_nhân	O	O	O	N
quét_dọn	O	O	O	N
thay	O	O	O	N
chậu	O	O	O	N
cây	O	O	O	N
trên	O	O	O	N
một	O	O	O	N
con	O	O	O	N
phố	O	O	O	N
gần	O	O	O	N
khu	O	O	O	N
biểu_tình	Demonstrate	O	T17	Place-Arg:T18 Time-Arg:T21 
ở	O	O	O	N
thủ_đô	O	LOC	T18	N
Bangkok	O	LOC	T18	N
.	O	O	O	N

Hai	O	PER	T23	N
trong	O	PER	T23	N
số	O	PER	T23	N
những	O	PER	T23	N
công_nhân	O	PER	T23	N
này	O	PER	T23	N
bị_thương	Injure	O	T22	Victim-Arg:T23 
nặng	O	O	O	N
và	O	O	O	N
đã	O	O	O	N
phải	O	O	O	N
nhập_viện	Injure	O	T24	Victim-Arg:T23 
.	O	O	O	N

Một	O	O	O	N
lãnh_đạo	O	O	O	N
phe	O	O	O	N
biểu_tình	O	O	O	N
-	O	O	O	N
ông	O	O	O	N
Saemdin_Lertbutr	O	O	O	N
-	O	O	O	N
cho_biết	O	O	O	N
,	O	O	O	N
không	O	O	O	N
ai	O	O	O	N
trong	O	O	O	N
số	O	O	O	N
những	O	O	O	N
người	O	O	O	N
biểu_tình	O	O	O	N
bị_thương	O	O	O	N
.	O	O	O	N
"	O	O	O	N

Họ	O	O	O	N
chỉ	O	O	O	N
muốn	O	O	O	N
tạo	O	O	O	N
ra	O	O	O	N
tình_huống	O	O	O	N
hoặc	O	O	O	N
làm	O	O	O	N
chúng_tôi	O	O	O	N
sợ_hãi	O	O	O	N
,	O	O	O	N
bởi	O	O	O	N
cường_độ	O	O	O	N
của	O	O	O	N
vụ	O	O	O	N
nổ	O	O	O	N
không	O	O	O	N
nghiêm_trọng	O	O	O	N
và	O	O	O	N
cũng	O	O	O	N
không	O	O	O	N
đe_doạ	O	O	O	N
tính_mạng	O	O	O	N
"	O	O	O	N
.	O	O	O	N

Những	O	O	O	N
người	Demonstrate	O	T25	Place-Arg:T26 
biểu_tình	Demonstrate	O	T25	Place-Arg:T26 
đã	O	O	O	N
chiếm_đóng	O	O	O	N
các	O	O	O	N
giao_lộ	O	FAC	T26	N
lớn	O	FAC	T26	N
ở	O	FAC	T26	N
Bangkok	O	FAC	T26	N
và	O	O	O	N
bao_vây	O	O	O	N
nhiều	O	O	O	N
trụ_sở	O	O	O	N
bộ	O	O	O	N
,	O	O	O	N
buộc	O	O	O	N
nhân_viên	O	O	O	N
phải	O	O	O	N
đến	O	O	O	N
làm_việc	O	O	O	N
ở	O	O	O	N
những	O	O	O	N
nơi	O	O	O	N
khác	O	O	O	N
.	O	O	O	N

Người	O	O	O	N
biểu_tình	O	O	O	N
muốn	O	O	O	N
Thủ_tướng	O	O	O	N
tạm	O	O	O	N
quyền	O	O	O	N
Yingluck_Shinawatra	O	O	O	N
phải	O	O	O	N
từ_chức	O	O	O	N
,	O	O	O	N
mở_đường	O	O	O	N
cho	O	O	O	N
một	O	O	O	N
chính_phủ	O	O	O	N
lâm_thời	O	O	O	N
được	O	O	O	N
chỉ_định	O	O	O	N
lên	O	O	O	N
thực_thi	O	O	O	N
những	O	O	O	N
gì	O	O	O	N
họ	O	O	O	N
nói	O	O	O	N
là	O	O	O	N
cải_cách	O	O	O	N
cần_thiết	O	O	O	N
để	O	O	O	N
chống	O	O	O	N
tham_nhũng	O	O	O	N
.	O	O	O	N

Người	O	PER	T38	N
biểu_tình	O	PER	T38	N
xuống_đường	O	O	O	N
từ	O	O	O	N
tháng	O	TIME	T39	N
11.2013	O	TIME	T39	N
và	O	O	O	N
nhiều	O	O	O	N
lần	O	O	O	N
đụng_độ	Attack	O	T40	Target-Arg:T41 Time-Arg:T39 Attacker-Arg:T38 
với	O	O	O	N
cảnh_sát	O	PER	T41	N
.	O	O	O	N

Trong	O	O	O	N
khi	O	O	O	N
đó	O	O	O	N
,	O	O	O	N
Thủ_tướng	O	O	O	N
Yingluck	O	O	O	N
từ_chối	O	O	O	N
từ_chức	O	O	O	N
,	O	O	O	N
nói	O	O	O	N
rằng	O	O	O	N
bà	O	O	O	N
được	O	O	O	N
bầu	O	O	O	N
bởi	O	O	O	N
đa_số	O	O	O	N
cử_tri	O	O	O	N
và	O	O	O	N
sẵn_sàng	O	O	O	N
cởi_mở	O	O	O	N
để	O	O	O	N
cải_cách	O	O	O	N
.	O	O	O	N

Tuy_nhiên	O	O	O	N
,	O	O	O	N
việc	O	O	O	N
thành_lập	O	O	O	N
một	O	O	O	N
hội_đồng_nhân_dân	O	O	O	N
để	O	O	O	N
điều_hành	O	O	O	N
đất_nước	O	O	O	N
là	O	O	O	N
vi_hiến	O	O	O	N
và	O	O	O	N
phi	O	O	O	N
dân_chủ	O	O	O	N
.	O	O	O	N

Ít_nhất	O	O	O	N
10	O	PER	T28	N
người	O	PER	T28	N
đã	O	O	O	N
thiệt_mạng	Die	O	T27	Victim-Arg:T28 
và	O	O	O	N
hàng	O	PER	T29	N
chục	O	PER	T29	N
người	O	PER	T29	N
nhập_viện	Injure	O	T30	Victim-Arg:T29 
trong	O	O	O	N
các	O	O	O	N
vụ	O	O	O	N
bạo_lực	Demonstrate	O	T31	Place-Arg:T32 
ở	O	O	O	N
Thái_Lan	O	GPE	T32	N
.	O	O	O	N

Theo	O	O	O	N
Bangkok_Post	O	O	O	N
,	O	O	O	N
Reuters	O	O	O	N

Cảnh_sát	O	ORG	T2	N
Malaysia	O	ORG	T2	N
bắt_giữ	Arrest-jail	O	T1	Person-Arg:T3 Agent-Arg:T2 
13	O	PER	T3	N
nghi	O	PER	T3	N
phạm	O	PER	T3	N
hiếm_dâm	Attack	O	T4	Target-Arg:T5 Attacker-Arg:T3 
tập_thể	O	O	O	N
bé	O	PER	T5	N
gái	O	PER	T5	N
15	O	PER	T5	N
tuổi	O	PER	T5	N

(	O	O	O	N
TNO	O	O	O	N
)	O	O	O	N
Cảnh_sát	O	ORG	T8	N
Malaysia	O	ORG	T8	N
đã	O	O	O	N
bắt_giữ	Arrest-jail	O	T6	Agent-Arg:T8 Person-Arg:T7 
ít_nhất	O	PER	T7	N
13	O	PER	T7	N
nghi_phạm	O	PER	T7	N
liên_quan	O	O	O	N
đến	O	O	O	N
vụ	O	O	O	N
hiếp_dâm	Attack	O	T9	Target-Arg:T10 Attacker-Arg:T7 
tập_thể	O	O	O	N
một	O	PER	T10	N
bé	O	PER	T10	N
gái	O	PER	T10	N
15	O	PER	T10	N
tuổi	O	PER	T10	N
.	O	O	O	N

Một	O	PER	T12	N
nhóm	O	PER	T12	N
đàn_ông	O	PER	T12	N
hiếp_dâm	Attack	O	T11	Target-Arg:T13 Attacker-Arg:T12 Time-Arg:T14 Target-Arg2:T15 
tập_thể	O	O	O	N
bé	O	PER	T13	N
gái	O	PER	T13	N
này	O	O	O	N
vào	O	O	O	N
ngày	O	TIME	T14	N
20.5	O	TIME	T14	N
trong	O	O	O	N
nhiều	O	O	O	N
giờ	O	O	O	N
liền	O	O	O	N
tại	O	O	O	N
một	O	FAC	T15	N
căn	O	FAC	T15	N
nhà	O	FAC	T15	N
bỏ_hoang	O	FAC	T15	N
ở	O	FAC	T15	N
bang	O	FAC	T15	N
Kelantan	O	FAC	T15	N
,	O	O	O	N
theo	O	O	O	N
AFP	O	O	O	N
ngày	O	O	O	N
30.5	O	O	O	N
.	O	O	O	N

Cảnh_sát	O	O	O	N
đang	O	O	O	N
điều_tra	O	O	O	N
cô	O	O	O	N
bạn	O	O	O	N
17	O	O	O	N
tuổi	O	O	O	N
của	O	O	O	N
bé	O	O	O	N
gái	O	O	O	N
có	O	O	O	N
bị	O	O	O	N
cưỡng_hiếp	O	O	O	N
hay	O	O	O	N
không	O	O	O	N
và	O	O	O	N
có	O	O	O	N
bao_nhiêu	O	O	O	N
người	O	O	O	N
đàn_ông	O	O	O	N
liên_quan	O	O	O	N
đến	O	O	O	N
vụ	O	O	O	N
hiếp_dâm	O	O	O	N
tập_thể	O	O	O	N
.	O	O	O	N

Có	O	O	O	N
thông_tin	O	O	O	N
cho	O	O	O	N
rằng	O	O	O	N
có	O	O	O	N
đến	O	O	O	N
gần	O	O	O	N
40	O	PER	T16	N
người	O	PER	T16	N
đàn_ông	O	PER	T16	N
thay	O	O	O	N
phiên	O	O	O	N
hiếp_dâm	O	O	O	N
tập_thể	O	O	O	N
bé	O	O	O	N
gái	O	PER	T18	N
15	O	PER	T18	N
tuổi	O	PER	T18	N
.	O	O	O	N

Nhóm	O	O	O	N
đàn_ông	O	PER	T23	N
hiếp_dâm	O	O	O	N
tập_thể	O	O	O	N
được	O	O	O	N
cho	O	O	O	N
là	O	O	O	N
đang	O	O	O	N
phê	O	O	O	N
thuốc	O	O	O	N
,	O	O	O	N
đã	O	O	O	N
dụ_dỗ	O	O	O	N
các	O	O	O	N
bé	O	PER	T21	N
gái	O	PER	T21	N
đến	O	O	O	N
ngôi	O	O	O	N
nhà	O	FAC	T20	N
hoang	O	FAC	T20	N
.	O	O	O	N

Các	O	O	O	N
nghi_phạm	O	PER	T25	N
bị	O	O	O	N
bắt_giữ	O	O	O	N
đến	O	O	O	N
từ	O	O	O	N
một	O	O	O	N
ngôi	O	O	O	N
làng	O	O	O	N
,	O	O	O	N
nơi	O	O	O	N
xảy	O	O	O	N
ra	O	O	O	N
vụ	O	O	O	N
hiếp_dâm	O	O	O	N
tập_thể	O	O	O	N
.	O	O	O	N

Trong	O	O	O	N
số	O	O	O	N
13	O	O	O	N
nghi	O	PER	T27	N
phạm	O	PER	T27	N
hiếp_dâm	O	O	O	N
bị	O	O	O	N
bắt	O	O	O	N
có	O	O	O	N
một	O	O	O	N
người	O	O	O	N
cha	O	O	O	N
và	O	O	O	N
hai	O	O	O	N
đứa	O	O	O	N
con_trai	O	O	O	N
của	O	O	O	N
ông	O	O	O	N
này	O	O	O	N
.	O	O	O	N

Có	O	O	O	N
gần	O	O	O	N
3.000	O	O	O	N
vụ	O	O	O	N
hiếp_dâm	O	O	O	N
được	O	O	O	N
ghi_nhận	O	O	O	N
trong	O	O	O	N
năm	O	O	O	N
2012	O	O	O	N
tại	O	O	O	N
Malaysia	O	O	O	N
và	O	O	O	N
nhiều	O	O	O	N
nạn_nhân	O	O	O	N
có	O	O	O	N
tuổi	O	O	O	N
từ	O	O	O	N
16	O	O	O	N
trở	O	O	O	N
xuống	O	O	O	N
,	O	O	O	N
AFP	O	O	O	N
dẫn	O	O	O	N
số_liệu	O	O	O	N
thống_kê	O	O	O	N
cảnh_sát	O	O	O	N
nước	O	O	O	N
này	O	O	O	N
.	O	O	O	N

Nhưng	O	O	O	N
các	O	O	O	N
nhà	O	O	O	N
hoạt_động	O	O	O	N
vì	O	O	O	N
quyền	O	O	O	N
phụ_nữ	O	O	O	N
cho_rằng	O	O	O	N
con_số	O	O	O	N
vụ	O	O	O	N
hiếp_dâm	O	O	O	N
còn	O	O	O	N
cao	O	O	O	N
hơn	O	O	O	N
bởi_vì	O	O	O	N
có	O	O	O	N
nhiều	O	O	O	N
vụ	O	O	O	N
không	O	O	O	N
được	O	O	O	N
trình_báo	O	O	O	N
lên	O	O	O	N
cảnh_sát	O	O	O	N
.	O	O	O	N

Phúc_Duy	O	O	O	N

Sáp_nhập	Merge-org	O	T1	Org-Arg:T2 Org-Arg2:T3 
Sacombank	O	ORG	T2	N
và	O	O	O	N
Southernbank	O	ORG	T3	N
:	O	O	O	N
Ẩn_chứa	O	O	O	N
điều	O	O	O	N
gì	O	O	O	N
?	O	O	O	N

Sacombank	O	O	O	N
là	O	O	O	N
một	O	O	O	N
trong	O	O	O	N
các	O	O	O	N
ngân_hàng	O	O	O	N
cổ_phần	O	O	O	N
hoạt_động	O	O	O	N
hiệu_quả	O	O	O	N
nhất	O	O	O	N
và	O	O	O	N
có	O	O	O	N
vốn_điều_lệ	O	O	O	N
nằm	O	O	O	N
trong	O	O	O	N
nhóm	O	O	O	N
các	O	O	O	N
ngân_hàng	O	O	O	N
lớn	O	O	O	N
trong	O	O	O	N
nước	O	O	O	N
.	O	O	O	N

Dẫu	O	O	O	N
việc	O	O	O	N
sáp_nhập	Merge-org	O	T4	Org-Arg:T5 Org-Arg2:T6 
ngân_hàng	O	ORG	T5	N
Phương_Nam	O	ORG	T5	N
(	O	ORG	T5	N
Southernbank	O	ORG	T5	N
)	O	ORG	T5	N
vào	O	O	O	N
Sacombank	O	ORG	T6	N
chỉ	O	O	O	N
còn	O	O	O	N
là	O	O	O	N
vấn_đề	O	O	O	N
thời_gian	O	O	O	N
,	O	O	O	N
nhưng	O	O	O	N
điều	O	O	O	N
khiến	O	O	O	N
giới	O	O	O	N
đầu_tư	O	O	O	N
tài_chính	O	O	O	N
và	O	O	O	N
nhiều	O	O	O	N
cổ_đông	O	O	O	N
Sacombank	O	O	O	N
không	O	O	O	N
khỏi	O	O	O	N
băn_khăn	O	O	O	N
đó	O	O	O	N
là	O	O	O	N
trong	O	O	O	N
thương_vụ	O	O	O	N
sáp_nhập	O	O	O	N
này	O	O	O	N
,	O	O	O	N
thực_sự	O	O	O	N
ẩn_chứa	O	O	O	N
điều	O	O	O	N
gì	O	O	O	N
và	O	O	O	N
ai	O	O	O	N
sẽ	O	O	O	N
là	O	O	O	N
người	O	O	O	N
được	O	O	O	N
lợi	O	O	O	N
?	O	O	O	N

Sáp_nhập	O	O	O	N
một	O	O	O	N
cơ_thể	O	O	O	N
ốm_yếu	O	O	O	N

Trên	O	O	O	N
website	O	O	O	N
chính_thức	O	O	O	N
của	O	O	O	N
Ngân_hàng	O	O	O	N
TMCP	O	O	O	N
Sài_Gòn	O	O	O	N
Thương_Tín	O	O	O	N
-	O	O	O	N
Sacombank	O	O	O	N
cho	O	O	O	N
biết	O	O	O	N
,	O	O	O	N
Ngân_hàng	O	ORG	T7	N
TMCP	O	ORG	T7	N
Phương_Nam	O	ORG	T7	N
đã	O	O	O	N
đề_nghị	O	O	O	N
được	O	O	O	N
sáp_nhập	Merge-org	O	T8	Org-Arg:T9 Org-Arg2:T7 
vào	O	O	O	N
Sacombank	O	ORG	T9	N
.	O	O	O	N
Theo	O	O	O	N
đó	O	O	O	N
,	O	O	O	N
Sacombank	O	O	O	N
đã	O	O	O	N
tiếp_nhận	O	O	O	N
đề_nghị	O	O	O	N
và	O	O	O	N
hiện	O	O	O	N
đang	O	O	O	N
trong	O	O	O	N
quá_trình	O	O	O	N
nghiên_cứu	O	O	O	N
và	O	O	O	N
xây_dựng	O	O	O	N
đề_án	O	O	O	N
để	O	O	O	N
trình	O	O	O	N
Ngân_hàng	O	O	O	N
Nhà_nước	O	O	O	N
,	O	O	O	N
các	O	O	O	N
cơ_quan	O	O	O	N
quản_lý	O	O	O	N
và	O	O	O	N
đại_hội_đồng	O	O	O	N
cổ_đông	O	O	O	N
trong	O	O	O	N
kỳ	O	O	O	N
họp	O	O	O	N
vào	O	O	O	N
25/3/2014	O	O	O	N
xem_xét	O	O	O	N
về	O	O	O	N
mặt	O	O	O	N
chủ_trương	O	O	O	N
trước	O	O	O	N
khi	O	O	O	N
tiến_hành	O	O	O	N
sáp_nhập	O	O	O	N
.	O	O	O	N

Thực_tế	O	O	O	N
,	O	O	O	N
nếu	O	O	O	N
đặt	O	O	O	N
Southernbank	O	O	O	N
lên	O	O	O	N
bàn	O	O	O	N
cân	O	O	O	N
với	O	O	O	N
Sacombank	O	O	O	N
sẽ	O	O	O	N
là	O	O	O	N
một	O	O	O	N
sự	O	O	O	N
so_sánh	O	O	O	N
khập_khiễng	O	O	O	N
.	O	O	O	N

Hiện_tại	O	O	O	N
Sacombank	O	O	O	N
là	O	O	O	N
một	O	O	O	N
trong	O	O	O	N
các	O	O	O	N
ngân_hàng	O	O	O	N
cổ_phần	O	O	O	N
hoạt_động	O	O	O	N
hiệu_quả	O	O	O	N
nhất	O	O	O	N
và	O	O	O	N
có	O	O	O	N
vốn_điều_lệ	O	O	O	N
nằm	O	O	O	N
trong	O	O	O	N
nhóm	O	O	O	N
các	O	O	O	N
ngân_hàng	O	O	O	N
lớn	O	O	O	N
trong	O	O	O	N
nước	O	O	O	N
.	O	O	O	N

Trong	O	O	O	N
khi	O	O	O	N
đó	O	O	O	N
,	O	O	O	N
Southernbank	O	O	O	N
không	O	O	O	N
có	O	O	O	N
nhiều	O	O	O	N
người	O	O	O	N
biết	O	O	O	N
đến	O	O	O	N
bởi	O	O	O	N
quy_mô	O	O	O	N
quá	O	O	O	N
nhỏ	O	O	O	N
và	O	O	O	N
chỉ	O	O	O	N
hoạt_động	O	O	O	N
tầm	O	O	O	N
địa_phương	O	O	O	N
.	O	O	O	N

Southernbank	O	O	O	N
được	O	O	O	N
thành_lập	O	O	O	N
năm	O	O	O	N
1993	O	TIME	T15	N
nhưng	O	O	O	N
mãi	O	O	O	N
đến	O	O	O	N
năm	O	O	O	N
2000	O	O	O	N
số	O	O	O	N
vốn	O	O	O	N
vỏn_vẹn	O	O	O	N
chỉ	O	O	O	N
có	O	O	O	N
100	O	O	O	N
tỷ	O	O	O	N
đồng	O	O	O	N
.	O	O	O	N

Năm	O	O	O	N
2008	O	O	O	N
thời_kỳ	O	O	O	N
“	O	O	O	N
đỉnh_cao	O	O	O	N
”	O	O	O	N
của	O	O	O	N
thị_trường	O	O	O	N
tài_chính	O	O	O	N
Việt_Nam	O	O	O	N
,	O	O	O	N
ngân_hàng	O	O	O	N
này	O	O	O	N
cũng	O	O	O	N
mới	O	O	O	N
chỉ	O	O	O	N
có	O	O	O	N
vốn	O	O	O	N
chủ_sở_hữu	O	O	O	N
khoảng	O	O	O	N
2.000	O	O	O	N
tỷ	O	O	O	N
đồng	O	O	O	N
.	O	O	O	N

Tuy_nhiên	O	O	O	N
,	O	O	O	N
kể	O	O	O	N
từ	O	O	O	N
năm	O	O	O	N
2008	O	O	O	N
đến	O	O	O	N
nay	O	O	O	N
bất_chấp	O	O	O	N
tình_trạng	O	O	O	N
khó_khăn	O	O	O	N
của	O	O	O	N
nền	O	O	O	N
kinh_tế	O	O	O	N
,	O	O	O	N
Southernbank	O	O	O	N
đã	O	O	O	N
tăng	O	O	O	N
vốn_điều_lệ	O	O	O	N
lên	O	O	O	N
4.000	O	O	O	N
tỷ	O	O	O	N
đồng	O	O	O	N
.	O	O	O	N

Ngược_lại	O	O	O	N
với	O	O	O	N
việc	O	O	O	N
tăng	O	O	O	N
vốn_điều_lệ	O	O	O	N
ồ_ạt	O	O	O	N
thì	O	O	O	N
hiệu_quả	O	O	O	N
hoạt_động	O	O	O	N
của	O	O	O	N
Southernbank	O	O	O	N
lại	O	O	O	N
ở	O	O	O	N
mức	O	O	O	N
rất	O	O	O	N
thấp	O	O	O	N
.	O	O	O	N

Lợi_nhuận	O	O	O	N
sau	O	O	O	N
thuế	O	O	O	N
từ	O	O	O	N
mức	O	O	O	N
gần	O	O	O	N
100	O	O	O	N
tỷ	O	O	O	N
đồng	O	O	O	N
năm	O	O	O	N
2005	O	O	O	N
nhưng	O	O	O	N
mãi	O	O	O	N
đến	O	O	O	N
năm	O	O	O	N
2012	O	O	O	N
cũng	O	O	O	N
chỉ	O	O	O	N
đạt	O	O	O	N
120	O	O	O	N
tỷ	O	O	O	N
đồng	O	O	O	N
.	O	O	O	N

Kết_quả	O	O	O	N
kinh_doanh	O	O	O	N
càng	O	O	O	N
tệ_hại	O	O	O	N
khi	O	O	O	N
9	O	O	O	N
tháng	O	O	O	N
đầu	O	O	O	N
năm	O	O	O	N
2013	O	O	O	N
mới	O	O	O	N
lãi_ròng	O	O	O	N
226,5	O	O	O	N
tỷ	O	O	O	N
đồng	O	O	O	N
.	O	O	O	N

Con_số	O	O	O	N
này	O	O	O	N
không	O	O	O	N
hoàn_toàn	O	O	O	N
tương_xứng	O	O	O	N
với	O	O	O	N
số	O	O	O	N
vốn_điều_lệ	O	O	O	N
.	O	O	O	N

Hiệu_quả	O	O	O	N
kinh_doanh	O	O	O	N
của	O	O	O	N
Southermbank	O	O	O	N
trong	O	O	O	N
mấy	O	O	O	N
năm	O	O	O	N
qua	O	O	O	N
đều	O	O	O	N
rất	O	O	O	N
thấp	O	O	O	N
.	O	O	O	N

Theo	O	O	O	N
báo_cáo	O	O	O	N
tài_chính	O	O	O	N
Q	O	O	O	N
3/2013	O	O	O	N
,	O	O	O	N
tổng	O	O	O	N
tiền	O	O	O	N
gửi	O	O	O	N
của	O	O	O	N
khách_hàng	O	O	O	N
tại	O	O	O	N
ngân_hàng	O	O	O	N
là	O	O	O	N
66.545	O	O	O	N
tỷ	O	O	O	N
đồng	O	O	O	N
,	O	O	O	N
tuy_nhiên	O	O	O	N
,	O	O	O	N
số	O	O	O	N
tiền	O	O	O	N
cho	O	O	O	N
khách_hàng	O	O	O	N
vay	O	O	O	N
chỉ	O	O	O	N
có	O	O	O	N
43.367	O	O	O	N
tỷ	O	O	O	N
đồng	O	O	O	N
.	O	O	O	N

Phần	O	O	O	N
tài_sản	O	O	O	N
còn	O	O	O	N
lại	O	O	O	N
chủ_yếu	O	O	O	N
nằm	O	O	O	N
trong	O	O	O	N
khoản	O	O	O	N
phải	O	O	O	N
thu	O	O	O	N
là	O	O	O	N
24.995	O	O	O	N
tỷ	O	O	O	N
đồng	O	O	O	N
.	O	O	O	N

Trong	O	O	O	N
thuyết_minh	O	O	O	N
báo_cáo	O	O	O	N
tài_chính	O	O	O	N
không	O	O	O	N
nói	O	O	O	N
rõ	O	O	O	N
nhưng	O	O	O	N
đây	O	O	O	N
có_thể	O	O	O	N
là	O	O	O	N
các	O	O	O	N
khoản	O	O	O	N
nợ	O	O	O	N
chưa	O	O	O	N
thu_hồi	O	O	O	N
được	O	O	O	N
và	O	O	O	N
đang	O	O	O	N
bị	O	O	O	N
“	O	O	O	N
treo	O	O	O	N
”	O	O	O	N
lại	O	O	O	N
.	O	O	O	N

Điều	O	O	O	N
đáng	O	O	O	N
nói	O	O	O	N
là	O	O	O	N
Southernbank	O	O	O	N
vẫn	O	O	O	N
chưa	O	O	O	N
trích_lập	O	O	O	N
bất_kỳ	O	O	O	N
một	O	O	O	N
khoản	O	O	O	N
tiền	O	O	O	N
nào	O	O	O	N
cho	O	O	O	N
khoản	O	O	O	N
phải	O	O	O	N
thu	O	O	O	N
khổng_lồ	O	O	O	N
này	O	O	O	N
.	O	O	O	N

Báo_cáo	O	O	O	N
tài_chính	O	O	O	N
gần	O	O	O	N
nhất	O	O	O	N
cũng	O	O	O	N
cho	O	O	O	N
thấy	O	O	O	N
tỷ_lệ	O	O	O	N
nợ_xấu	O	O	O	N
của	O	O	O	N
ngân_hàng	O	O	O	N
này	O	O	O	N
là	O	O	O	N
3,8	O	O	O	N
%	O	O	O	N
,	O	O	O	N
tăng	O	O	O	N
25	O	O	O	N
%	O	O	O	N
so	O	O	O	N
với	O	O	O	N
cuối	O	O	O	N
năm	O	O	O	N
2012	O	O	O	N
.	O	O	O	N

Có_lẽ	O	O	O	N
đây	O	O	O	N
là	O	O	O	N
một	O	O	O	N
tỷ_lệ	O	O	O	N
thấp	O	O	O	N
hơn	O	O	O	N
nhiều	O	O	O	N
so	O	O	O	N
với	O	O	O	N
con_số	O	O	O	N
thực_tế	O	O	O	N
của	O	O	O	N
một	O	O	O	N
